
"In this charming story, readers will meet Strawberry's berry best friends and discover all the fruitastic things they like to do together, like having picnics, dressing up, practicing ballet, and more!",Juvenile Fiction,26.0,,Best Friends Forever
,Virgil,169.0,,The Aeneid for Boys and Girls
"In the never-before-released conclusion of Avalon: Web of Magic, the mages must give up everything they love to save Avalon! But can they?",Comics & Graphic Novels,261.0,,Alls Fairy in Love and War Avalon Web of Magic 8
,,,,The Devils Notebook
,"De Wolfe, John, Sir (Fictitious character)",1072.0,,Crowner Royal Crowner John Mystery 13
"Spirit Lake ist der Name des Indianerortes, in dem Allie McCormick nach einem Flugzeugabsturz strandet. Schnell merkt sie, dass es dort nicht mit rechten Dingen zugeht: Leute verschwinden, die Bewohner benehmen sich seltsam und im Internet existiert der Ort nicht. Als Allie durch den Indianerjungen Chris von der Legende des Wendigo erfährt, wird klar, dass sie es mit einem übermächtigen Gegner zu tun haben. Denn dieses Wesen hat ein Herz aus Eis, das nichts als Feuer fürchtet ...",Juvenile Fiction,275.0,,Spirit Lake Die Legende des Wendigo
"When we think of ""heaven,"" we generally conjure up positive, blissful images. Heaven is, after all, where God is and where good people go after death to receive their reward. But how and why did Western cultures come to imagine the heavenly realm in such terms? Why is heaven usually thought to be ""up there,"" far beyond the visible sky? And what is the source of the idea that the post mortem abode of the righteous is in this heavenly realm with God? Seeking to discover the roots of these familiar notions, this volume traces the backgrounds, origin, and development of early Jewish and Christian speculation about the heavenly realm -- where it is, what it looks like, and who its inhabitants are. Wright begins his study with an examination of the beliefs of ancient Israel's neighbors Egypt and Mesopotamia, reconstructing the intellectual context in which the earliest biblical images of heaven arose. A detailed analysis of the Hebrew biblical texts themselves then reveals that the Israelites were deeply influenced by images drawn from the surrounding cultures. Wright goes on to examine Persian and Greco-Roman beliefs, thus setting the stage for his consideration of early Jewish and Christian images, which he shows to have been formed in the struggle to integrate traditional biblical imagery with the newer Hellenistic ideas about the cosmos. In a final chapter Wright offers a brief survey of how later Jewish, Christian, and Islamic traditions envisioned the heavenly realms. Accessible to a wide range of readers, this provocative book will interest anyone who is curious about the origins of this extraordinarily pervasive and influential idea.",History,338.0,,Heaven
"Inspired by Newbery Honor winner Holm's own Italian-American family, ""Penny from Heaven"" is a shining story about the everyday and the extraordinary, about a time in America's history, not all that long ago, when being Italian meant that you were the enemy. Most of all, it's a story about families--about the things that tear them apart and bring them together.",Juvenile Fiction,290.0,1.0,Penny from Heaven
"Is there a heaven for Dogs? Find out for yourself by reading this beautiful and touching story by Lucky. Owning a pet, there comes a time when our best friend passes away. There are many reasons, sometimes it is old age and sometimes it is because of illness. It is most difficult for a child to come to terms with it. Children are usually very emotionally attached to their pets and do not yet fully understand the subject of death. The booklet aims to show what happens to the animal when it passes away and goes to Dog Heaven, that there, where it is after death, it doesn't suffer but is happy, full and healthy. The booklet illustrates the subject of garbage in a very positive way. The story is suitable for children of all ages. From the Author: I wrote the book under the influence of my own emotions. Several years ago I took in abandoned mongrel dog. I gave her name Luna. I think, that she lived the most beautiful dog's life with us. Spent vacations at the seaside, we celebrated each of her birthdays, even came Santa Claus with gifts. She was treated like a family member - like someone very important. Unfortunately, together with old age came illness and I had to make the hardest decision in my life not to prolong the dog's suffering. I think that where she is now, for sure she is well and she is watching us from above. In the Dog Paradise she surely has many friends and also met those with whom she played in life. I think we will meet again and I will throw her a fetch stick....",,34.0,,Dog Heaven
,,,,The Tommyknockers
"Arrianna Williams is an ordinary 25 yr. old woman or so she thinks. She has stumbled across a very special book and she soon sees just how special this book really is, at least she thinks she knows. The book comes to life and Arrianna is no longer reading the pages but is in the story herself watching it happen. During the reading of this book and everyday life she runs into an old childhood friend Damion. She quickly falls for him but it doesn't last long. She wonders if it was even real at all or just part of her very special book. Now hurt and confused she finds comfort in another man. Thinking her life is somewhat normal she finds out she has a very special gift that puts her life in danger. An Archangel named Gabriel comes to her rescue but in turn things only get worse. She is now being hunted for her gift and the man she sought comfort with is in desperate need of her to save his life! Meanwhile she starts to have feelings for her angel and she tries to fight them but they only get stronger and stronger. Could this angel ever love her the way she loves him? Will she defeat the fallen angel and demons after her? Will her life ever be normal again? So many secrets, so many lies, and so much heartache will happen during her journey to discovering who she really is and what she was meant to do.",Fiction,106.0,,Untold Secrets Fire Ice
,English poetry,100.0,,Vision of Sir Launfal and Other Poems
"The Chadwick Family chronicles continue... For generations, The Keep in Devon has been home to the Chadwick family. Now the three young siblings who grew up there are leaving to start out on their own. Fliss must journey to Hong Kong with her husband, even though she dreads being so far from home. Mole has embarked on a naval career and Susanna is about to fall in love. Their grandmother Freddie’s greatest fear is that she will not live to see the arrival of the next generation, but her worries are unfounded. It seems her grandchildren need her and Great Uncle Theo’s love more than ever to guide them through the rocky times ahead. And, no matter what happens, Freddie knows that The Keep must always be ready and waiting for their safe return.",Brothers and sisters,503.0,,Holding On
"Embrace the word of God with the inspirational book Understand God's Word – Walk in the Truth. This powerful look at God's instructions and warnings to all people before the day of judgment acts as the Lord's trumpet during this time of restoration. It is meant to help people understand the Lord's word and follow the path of truth.The Lord speaks to the people through the Holy Bible to make them understand His word. He teaches them how to walk in the truth, and leads believers to repent their sins and transgressions. Ultimately, God is determined to bring back his chosen people and let them enter the kingdom of heaven.Organized into forty different chapters, each chapter is divided into two parts: the first part consists of the Lord's instructions and warnings aimed at showing people how to “walk in the truth,” while the second part summarizes key passages of the Holy Bible to help readers truly understand God's word. Each chapter demonstrates how he who wishes to enter the kingdom of heaven must obey all of the Lord's commands, and how a thorough understanding of the Holy Bible is needed in order to do such.In addition, readers will learn about the Lord's declaration of the opening of the first seal. This includes God's announcement that He has sent his angel on the white horse to lead His army to restore the land, sounding the trumpet that proclaims that the time of restoration has come.Understand God's Word – Walk in the Truth helps people understand God's word and learn how to follow the path of truth and righteousness. It acts as a helpful companion for all Christians, who must examine themselves and repent before the Lord. This is necessary in order to enter the kingdom of heaven.",Religion,410.0,,Understand Gods Word Walk in the Truth
"Discover an American masterpiece. This unassuming story about the life of a quiet English professor has earned the admiration of readers all over the globe. William Stoner is born at the end of the nineteenth century into a dirt-poor Missouri farming family. Sent to the state university to study agronomy, he instead falls in love with English literature and embraces a scholar’s life, so different from the hardscrabble existence he has known. And yet as the years pass, Stoner encounters a succession of disappointments: marriage into a “proper” family estranges him from his parents; his career is stymied; his wife and daughter turn coldly away from him; a transforming experience of new love ends under threat of scandal. Driven ever deeper within himself, Stoner rediscovers the stoic silence of his forebears and confronts an essential solitude. John Williams’s luminous and deeply moving novel is a work of quiet perfection. William Stoner emerges from it not only as an archetypal American, but as an unlikely existential hero, standing, like a figure in a painting by Edward Hopper, in stark relief against an unforgiving world.",Fiction,305.0,2.0,Stoner
,,,,Emma
"From one of the best writers in American literature, a classic novel about smuggling, intrigue, and love. To Have and Have Not is the dramatic story of Harry Morgan, an honest man who is forced into running contraband between Cuba and Key West as a means of keeping his crumbling family financially afloat. His adventures lead him into the world of the wealthy and dissipated yachtsmen who throng the region and involve him in a strange and unlikely love affair. In this harshly realistic, yet oddly tender and wise novel, Hemingway perceptively delineates the personal struggles of both the ""haves"" and the ""have nots"" and creates one of the most subtle and moving portraits of a love affair in his oeuvre. By turns funny and tragic, lively and poetic, remarkable in its emotional impact, To Have and Have Not is literary high adventure at its finest.",Fiction,177.0,2.0,To Have and Have Not
