book_id;title;num_pages;ratings_count;description;genre;book_id_mapping
10441;The Memory Keepers Daughter;414.0;;The Memory Keeper's Daughter is a novel by American author Kim Edwards that tells the story of a man who gives away his newborn daughter, who has Down syndrome, to one of the nurses. Published by Viking Press in June 2005, the novel garnered great interest via word of mouth in the summer of 2006 and placed on the New York Times Paperback Bestsellers List. The novel was adapted into a television film and premiered on Lifetime Television on April 12, 2008.;['children', 'fiction', 'mystery, thriller, crime'];0
4374400;If I Stay If I Stay 1;272.0;;*Just listen, Adam says with a voice that sounds like shrapnel.  I open my eyes wide now.  I sit up as much as I can.  And I listen.  Stay, he says.*    Choices. Seventeen-year-old Mia is faced with some tough ones: Stay true to her first love—music—even if it means losing her boyfriend and leaving her family and friends behind?    Then one February morning Mia goes for a drive with her family, and in an instant, everything changes. Suddenly, all the choices are gone, except one. And it's the only one that matters.    If I Stay is a heartachingly beautiful book about the power of love, the true meaning of family, and the choices we all make;['fiction', 'young-adult'];1
3836;Don Quixote;224.0;;;['fiction'];2
5358;The Firm Penguin Readers Level 5;76.0;;;['fiction', 'mystery, thriller, crime'];3
6411961;The Lost Symbol Robert Langdon 3;604.0;;The Lost Symbol is a 2009 novel written by American writer Dan Brown. It is a thriller set in Washington, D.C., after the events of The Da Vinci Code, and relies on Freemasonry for both its recurring theme and its major characters.    Released on September 15, 2009, it is the third Brown novel to involve the character of Harvard University symbologist Robert Langdon, following 2000's Angels & Demons and 2003's The Da Vinci Code.    ----------  See also:  [Lost Symbol [2/2]](https://openlibrary.org/works/OL27717939W);['fiction', 'history, historical fiction, biography', 'mystery, thriller, crime', 'non-fiction'];4
518848;Sabriel Abhorsen 1;352.0;;"Ever since she was a tiny child, Sabriel has lived outside the walls of the Old Kingdom, away from the random power of Free Magic, and away from the Dead who won't stay dead. But now her father, the Mage Abhorsen, is missing, and to find him Sabriel must cross back into that world.    Though her journey begins alone, she soon finds companions: Mogget, whose seemingly harmless feline form hides a powerful and perhaps malevolent spirit; and Touchstone, a young Charter Mage long imprisoned by magic, now free in body but still trapped by painful memories.    With threats on all sides and only each other to trust, the three must travel deep into the Old Kingdom, toward a battle that will pit them against the true forces of life and death, and bring Sabriel face-to-face with her own hidden destiny.    A tale of dark secrets, deep love and dangerous magic, Sabriel introduces Garth Nix as an exceptional new talent.";['children', 'fantasy, paranormal', 'fiction', 'non-fiction', 'young-adult'];5
7613;Animal Farm;128.0;;Animal Farm is a brilliant political satire and a powerful and affecting story of revolutions and idealism, power and corruption. 'All animals are equal. But some animals are more equal than others.' Mr Jones of Manor Farm is so lazy and drunken that one day he forgets to feed his livestock. The ensuing rebellion under the leadership of the pigs Napoleon and Snowball leads to the animals taking over the farm. Vowing to eliminate the terrible inequities of the farmyard, the renamed Animal Farm is organised to benefit all who walk on four legs. But as time passes, the ideals of the rebellion are corrupted, then forgotten. And something new and unexpected emerges..;['fiction'];6
43035;White Fang;237.0;;The story of a wolf/dog cross, who is raised by Indians, and becomes a deadly fighter.;['children', 'fiction', 'history, historical fiction, biography', 'mystery, thriller, crime', 'young-adult'];7
41865;Twilight Twilight 1;498.0;;About three things I was absolutely positive. First, Edward was a vampire. Second, there was a part of him -- and I didn't know how dominant that part might be -- that thirsted for my blood. And third, I was unconditionally and irrevocably in love with him. When Isabella Swan moves to the gloomy town of Forks and meets the mysterious, alluring Edward Cullen, her life takes a thrilling and terrifying turn. With his porcelain skin, golden eyes, mesmerizing voice, and supernatural gifts, Edward is both irresistible and impenetrable. Up until now, he has managed to keep his true identity hidden, but Bella is determined to uncover his dark secret. What Bella doesn't realize is the closer she gets to him, the more she is putting herself and those around her at risk. And, it might be too late to turn back. Deeply seductive and extraordinarily suspenseful, Twilight will have listeners riveted right until the end. -- Container.    Bella Swan and Edward Cullen, a pair of star-crossed lovers whose forbidden relationship ripens against the backdrop of small-town suspicion and a mysterious coven of vampires.;['children', 'fantasy, paranormal', 'fiction', 'non-fiction', 'romance', 'young-adult'];8
13023;Alice in Wonderland;133.0;;Alice's Adventures in Wonderland (commonly Alice in Wonderland) is an 1865 English children's novel by Lewis Carroll. A young girl named Alice falls through a rabbit hole into a fantasy world of anthropomorphic creatures. It is seen as an example of the literary nonsense genre.    One of the best-known works of Victorian literature, its narrative, structure, characters and imagery have had huge influence on popular culture and literature, especially in the fantasy genre.;['children', 'fantasy, paranormal', 'fiction', 'young-adult'];9
